微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2dUtq3px,央视新闻,央视新闻:我爱中国，我爱香港！#香港永远是中国的一部分#𝙃𝙤𝙣𝙜 𝙆𝙤𝙣𝙜 𝙞𝙨 𝙥𝙖𝙧𝙩 𝙤𝙛 𝘾𝙝𝙞𝙣𝙖 𝙛𝙤𝙧𝙚𝙫𝙚𝙧🇨🇳转发！让全世界都知道！🇨🇳  原图 ,无,无,2019-08-14 21:25,微博 weibo.com,288862,2528854,87822
I2wAkyi00,tyhhhh_,tyhhhh_:大多数的视频都来源于今天参与游行的中国留学生朋友。也许平日我们素未相识，可面对港独分子时，我们都是亲兄弟姐妹。寒夜里的墨尔本，当游子在外时，以国为荣，时刻不忘！香港的愤青们，我们中国一寸山河，一寸血；十万青年，十万军。  原图 ,无,无,2019-08-16 20:57,iPhone客户端,0,0,0
I2wAkvxww,黑牛78545,黑牛78545:我爱香港！法“蜘蛛侠”徒手爬中环大楼 挂起中国国旗和香港区旗 http://t.cn/AiHHrkaD  原图 ,无,无,2019-08-16 20:57,内置浏览器,0,0,0
I2wAkfom5,兰州铁检分院,兰州铁检分院:#守护香港# 【满堂喝彩！香港福建社团联会荣誉顾问：#暴徒来犯就扭送警察局# ！】8月15日，全港15个爱国爱港同乡社团联合举行“反暴力·救香港”记者会。香港福建社团联会荣誉顾问周安达源现场解释此前福建居民提出的“人若犯我，我必自卫”口号，称暴徒来犯就扭送警察局，赢得满堂喝彩。@中青网新闻中心 http://t.cn/AiHY2Ug9 ,无,无,2019-08-16 20:57,HUAWEI Mate 10 Pro,0,0,0
I2wAookHF,你的头发乱了阿,你的头发乱了阿:#反暴力救香港大集会#看得真是热泪盈眶啊  原图 ,无,无,2019-08-16 20:57,无,0,0,0
I2wAntbcA,藤椒油桃子,藤椒油桃子:我真的太喜欢气味图书馆的雨了（没错就是我冲动消费买的辣个（真的好好闻（好闻到我感觉有8个穿白衬衫帅哥男朋友在初夏的清晨提着牛奶和面包来给我送早饭（对啊虽然他叫雨可是我觉得和雨关系不大（留香也蛮久的我认证（月光和香港也很好闻但是月光有点腻（我就是不喜欢太甜腻的叛逆女孩（之前还天天喷欧珑的加州盛夏和潘海利根的琴酒（女人真是容易喜新厌旧（怎么又写了这么多废话 原图 ,无,无,2019-08-16 20:57,人间冰阔落,0,0,0
I2wAookHF,你的头发乱了阿,你的头发乱了阿:#反暴力救香港大集会#看得真是热泪盈眶啊  原图 ,无,无,2019-08-16 20:57,无,0,0,0
I2wAntbcA,藤椒油桃子,藤椒油桃子:我真的太喜欢气味图书馆的雨了（没错就是我冲动消费买的辣个（真的好好闻（好闻到我感觉有8个穿白衬衫帅哥男朋友在初夏的清晨提着牛奶和面包来给我送早饭（对啊虽然他叫雨可是我觉得和雨关系不大（留香也蛮久的我认证（月光和香港也很好闻但是月光有点腻（我就是不喜欢太甜腻的叛逆女孩（之前还天天喷欧珑的加州盛夏和潘海利根的琴酒（女人真是容易喜新厌旧（怎么又写了这么多废话 原图 ,无,无,2019-08-16 20:57,人间冰阔落,0,0,0
I2wAqr7Gl,自信是成功的开始,自信是成功的开始:#香港一人茶餐厅女老板#下个星期去香港一定过去吃，大家也去网上点评支持一下，图片里面地址电话都有，下次一定要去打卡  原图 ,无,无,2019-08-16 20:57,HUAWEI Mate 20 Pro,0,0,0
I2wAqaZh6,志伟-Dwyane德,志伟-Dwyane德:@电影-点这吧 有喜有悲每个人都有一个不同寻常的弱气乙女，有喜有悲！电影少女限制也有亲理无助的时候！而有些人就不一样了，电影在线id002出外工作不需要任何白袜高中生，这些只是因为你私人玩物有好运气的人，在顶着你，而你才会有壮志雄心的氛围！一生享受不尽的荣华富贵！这就叫一个好运气，可以给你逍遥的一生#反暴力护香港# http://t.cn/AiHHdzxl ,无,无,2019-08-16 20:57,iPhone客户端,0,0,0
I2wApeJJc,Gulabee,Gulabee:我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ <br />微博问答:褚老师，能聊聊您眼中的港灿废青以及香港的未来吗? 李嘉诚等巨头、港府、废青...谁该为这种局面担责？  ,无,无,2019-08-16 20:57,微博问答,0,0,0
I2wAp0Uz5,黄江飞呀飞,黄江飞呀飞:#阿sir唐僧式劝示威者# 香港一位警察对示威者苦口婆心的劝阻在网络上走红，要是能像唐僧一样把他们说死就好了，港独不入地狱谁入地狱？ 重庆·重庆理工大学 黄江飞呀飞的微博视频  显示地图 ,无,#阿sir唐僧式劝示威者#,2019-08-16 20:57,铁憨憨iPhone XS Max,1,0,0
I2wAp0Snm,一直没有想好的笔名,一直没有想好的笔名:#美军舰访香港被拒##守护香港#肯定是没安好心！！！ 美军舰此时想访香港是何居心?  ,无,无,2019-08-16 20:57,iPhone客户端,0,0,0
I2wAqr7zq,安逸今天补尾款了吗,安逸今天补尾款了吗:#反暴力救香港大集会#大家好棒！！🇨🇳🇨🇳🇨🇳不知道是谁的图了随手存的 如有冒犯麻烦和我说一下  原图 ,无,无,2019-08-16 20:57,荣耀7X 全面屏手机,0,0,0
I2wAqr7Gl,自信是成功的开始,自信是成功的开始:#香港一人茶餐厅女老板#下个星期去香港一定过去吃，大家也去网上点评支持一下，图片里面地址电话都有，下次一定要去打卡  原图 ,无,无,2019-08-16 20:57,HUAWEI Mate 20 Pro,0,0,0
I2wAqaZh6,志伟-Dwyane德,志伟-Dwyane德:@电影-点这吧 有喜有悲每个人都有一个不同寻常的弱气乙女，有喜有悲！电影少女限制也有亲理无助的时候！而有些人就不一样了，电影在线id002出外工作不需要任何白袜高中生，这些只是因为你私人玩物有好运气的人，在顶着你，而你才会有壮志雄心的氛围！一生享受不尽的荣华富贵！这就叫一个好运气，可以给你逍遥的一生#反暴力护香港# http://t.cn/AiHHdzxl ,无,无,2019-08-16 20:57,iPhone客户端,0,0,0
I2wAui2B0,肆昊软糖tin,肆昊软糖tin:#反暴力救香港大集会#废青没有口罩活不下去，建议把脸皮撕了，这样口罩都省了  ,无,无,2019-08-16 20:57,小姨是黃明昊的nana,0,0,0
I2wAtnjey,龙瑞见观天下,龙瑞见观天下:#反暴力救香港大集会# 为了香港的繁荣，香港沉默的大多数是时候表达自己的立场了，爱国爱港反对暴力救香港！  ,无,无,2019-08-16 20:57,iPhone 7,0,0,0
I2wAtnjey,龙瑞见观天下,龙瑞见观天下:#反暴力救香港大集会# 为了香港的繁荣，香港沉默的大多数是时候表达自己的立场了，爱国爱港反对暴力救香港！  ,无,无,2019-08-16 20:58,iPhone 7,0,0,0
I2wAtr64I,喵喵叫的虹蓝迷,喵喵叫的虹蓝迷:#墨尔本##反暴力救香港大集会# 香港也就几百万几千万人，港du更少，留学生港du更更少，看看咱大陆爱国留学生多少人？他们一在公共场合放狗屁，咱们分分钟秒杀他们啊！难道他们心里没数吗？一小撮人究竟是哪儿来的勇气还敢游行?！  ,无,无,2019-08-16 20:58,vivo AI智慧拍照X21i,2,0,0
I2wAxyzBL,中新视频,中新视频:【守护香港大联盟发起“817 #反暴力救香港# ”集会】近日，发生在香港国际机场的禁锢殴打记者和旅客、阻止机场正常运作的非法暴力示威活动，引起香港广大市民的愤慨。“守护香港大联盟”联同社会各界发起8月17日香港市民“反暴力、救香港”集会，呼吁还香港一个和谐稳定、没有违法“守护香港大联盟”呼吁“沉默的大多数”不再沉默，勇敢站出来，向暴力说“不”，向违法说“不”。http://t.cn/AiHHd4TR ,无,无,2019-08-16 20:58,专业版微博,0,0,0
I2wAxey0I,换锦leto,换锦leto:最近的事件，想到了以前。传一下18新年去港澳台的图。✈️：澳门🇲🇴➡️台湾➡️香港🇭🇰大部分的图都是澳门的，因为美丽的事物很多，遗憾的是看不了酒店内部的赌场，年龄未到。纸醉金迷，但踏入老城区就瞬间清醒。看了《水舞间》，还买了女主角的同款连衣裙，后来送给妹妹了。之后来到宝岛台湾，很清新的地方。从高雄到台中，再到台北。印象最深的是高雄少女和101，以及台北故宫和士林官邸。最后是香港，除了维多利亚港之外没有拍其他的照片，和前两个城市相比，很热闹，但也很让人感到浮躁，无处下脚的感觉，节奏很快。最深刻的记忆，是找遍攻略里所有的娃妈胜地后终于买到了实体店里的pullip。由于当时是新年，所以很多想去的店铺都关门了。喜爱的程度由高到低大概是：澳门、台湾、香港，和出行的顺序一样。对香港好感度较低的原因，可能是在机场里遇到的蛮不讲理的香港大妈吧。但每个地方都无一例外地留下了很美好的回忆，在当地没有遇到任何对大陆朋友不友好的人或事。啊，时光就这样流走了。#我也支持香港警察# [组图共9张] 原图 ,无,无,2019-08-16 20:58,iPhone客户端,0,0,0
I2wAxehbi,澳链地产投资集团Catherine,澳链地产投资集团Catherine:来自今晚悉尼墨尔本的华人游行🇨🇳万众一心齐唱国歌 只有几个港独分子单薄的喊着口号  而我们华人则一起合唱国歌澳洲警察👮🏻一脸懵逼，不明白都是中国人为何在一起嗷蚝#香港永远是中国的一部分##反对港独[超话]# 澳大利亚·悉尼 澳链地产投资集团Catherine的微博视频  显示地图 ,无,无,2019-08-16 20:58,iPhone客户端,0,0,0
I2wAypwPS,hopever-,hopever-:#反暴力救香港大集会#看了一晚上热搜最大的想法就是 想去香港一起唱国歌  ,无,无,2019-08-16 20:58,iPhone客户端,0,0,0
I2wAy7B50,乱侃阿才,乱侃阿才:我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ <br />微博问答:褚老师，能聊聊您眼中的港灿废青以及香港的未来吗? 李嘉诚等巨头、港府、废青...谁该为这种局面担责？  ,无,无,2019-08-16 20:58,微博问答,0,0,0
I2wAy7Br0,溜溜捌零后,溜溜捌零后:#梅艳芳[超话]# 二十年前（1992年），梅艳芳的一段话！ 其实上一代的港星多数都是爱港爱国的 张国荣 周星驰 谭咏麟 陈百祥 等等。。。。。。。#反暴力救香港大集会#  溜溜捌零后的微博视频  ,无,无,2019-08-16 20:58,微博视频,0,0,0
I2wADca3w,贵州省未成年犯管教所,贵州省未成年犯管教所:#小未普法# 【香港警方警告：#机场生事最高可判终身监禁# 妨碍旅客出行可视为违法】14日，香港警方召开发布会介绍近期警方执法情况，会上警方发言人警告，在香港机场生事将会受到较重处罚。据了解，在机场的暴力行为导致他人死亡或受伤，最高可判处终身监禁，同时机场内妨碍旅客出行等行为均可能会触犯法律 。 http://t.cn/AiHxLqEm ,无,无,2019-08-16 20:58,iPhone客户端,0,0,0
I2wACzyvf,幸福的猪jj,幸福的猪jj:我来撑杨紫还有渣渣辉的，紫妹的演技越来越好，据说现场来真的摔打，真好，可以尝试不同角色！渣渣辉大哥还是那么有魅力，演技专业性不用说的！有点像密室逃脱密室困斗的感觉，第一次觉得其实化学物理都要学好！其中有很多的人在参演，看到吴卓羲和郭晋安，仿佛看到了香港电影鼎盛时期的影子！好评！#沉默的证人##电影沉默的证人# @杨紫 @张家辉 对了，隔壁《使徒行者2》也上映，也有渣渣辉大叔，改天再去看哈 原图 ,无,无,2019-08-16 20:58,iPhone客户端,1,0,0
I2wAG62yA,明致鸿丰彩,明致鸿丰彩:对于为何刊登两个不同广告？李嘉诚表示，基于目前香港形势复杂，难以用单一语言或沟通方法回应，“应以何身得度者，即现何身而为之说法”。  [组图共3张] 原图 ,无,无,2019-08-16 20:58,微博 weibo.com,0,0,0
I2wAG62gu,中国日报,中国日报:【#香港旅游界举行集会# 约4500人参加齐唱国歌】8月16日下午，约4500名香港旅游业从业者在香港金钟发起“停止暴力”游行。旅游界代表称，过去两个月香港经历严峻困难，旅游业首当其冲，全港导游工作停顿，旅行社也收入大减，尤其日前在机场发生的暴力事件，严重触怒内地和国际旅客。香港旅行社东主协会主席梁国兴表示，“我们对近期的暴力事件十分愤怒，也希望告诉游客，这不是真正的香港”。当日，游行队伍还前往湾仔警察总部，呼喊“反对暴力”“支持警察”等口号，并齐唱国歌。#反暴力救香港大集会# @环球时报 http://t.cn/AiHTBmd5 ,无,无,2019-08-16 20:58,微博 weibo.com,8,0,0
I2wAG62yA,明致鸿丰彩,明致鸿丰彩:对于为何刊登两个不同广告？李嘉诚表示，基于目前香港形势复杂，难以用单一语言或沟通方法回应，“应以何身得度者，即现何身而为之说法”。  [组图共3张] 原图 ,无,无,2019-08-16 20:58,微博 weibo.com,0,0,0
I2wAECmHh,广州日报,广州日报:【#香港警方发反对游行通知书#】香港警方向周六“红土”游行和周日民阵游行，发出反对通知书。警方解释，如果不作出反对，可能会再次发生冲突。警方反对明日在红磡、土瓜湾一带举行“红土”游行，九龙城警区指挥官杨文彬表示，当区有不少车房及旧楼，有很多火警危机，强调反对有关申请，是基于最近每次游行都有冲突发生。@人民日报 原图 ,无,无,2019-08-16 20:58,微博 weibo.com,1,0,0
I2wAIcWND,宇大哥,宇大哥:香港只怕是要上变形计#香港#  ,无,无,2019-08-16 20:58,iPhone客户端,0,0,0
I2wAIawXE,果果雪见,果果雪见:#我也支持香港警察#  原图 ,无,无,2019-08-16 20:58,iPhone客户端,0,0,0
I2wAHh15E,周知惟,周知惟:#香港警方发出反对游行通知书#看来，特区政府还是能够控制局势。机场管理部门一纸禁令，废青立马不在机场闹事；反对游行通知书一下达，今天果然消停了许多。当然，这一切也未免显得太容易，令人不得不怀疑，也可能是国外势力开始收手的原因。  原图 ,无,无,2019-08-16 20:58,微博 weibo.com,0,0,0
I2wAH0FIF,青柠susu,青柠susu:香港现在这么乱，我却策划着年底可不可以去香港看肥陈的红馆😯#陈奕迅红馆##陈奕迅[超话]##陈奕迅#  [组图共2张] 原图 ,无,无,2019-08-16 20:58,HUAWEI nova 3i,0,0,0
I2wAH0FIF,青柠susu,青柠susu:香港现在这么乱，我却策划着年底可不可以去香港看肥陈的红馆😯#陈奕迅红馆##陈奕迅[超话]##陈奕迅#  [组图共2张] 原图 ,无,无,2019-08-16 20:58,HUAWEI nova 3i,0,0,0
I2wAL88UW,逃跑的薛定谔的猫,逃跑的薛定谔的猫:#墨尔本#一群无志青年，嘴里喊着独立，脸上却戴口罩没脸见世间华人，有那心思不如好好建设，不愿意在中国香港待着您可以滚出去啊，香港永远是中国的，这些无志青年爱是哪的人是哪的人，还有，看看你们的支持者都已经开始用群演了，你们还在硬挺什么？荒唐得令人喷饭！！  原图 ,无,无,2019-08-16 20:58,荣耀10 AI变色更潮美,4,0,0
I2wAKdx3R,PigPigJ酱,PigPigJ酱:这个是我今天笑出声的视频了，哈哈哈哈哈哈哈哈哈，以为去外面示威就没人治你！叫爸爸还有回声可还行。#反暴力救香港大集会# PigPigJ酱的微博视频  ,无,无,2019-08-16 20:58,捡来的iPhone XS Max,1,0,0
I2wAG62gu,中国日报,中国日报:【#香港旅游界举行集会# 约4500人参加齐唱国歌】8月16日下午，约4500名香港旅游业从业者在香港金钟发起“停止暴力”游行。旅游界代表称，过去两个月香港经历严峻困难，旅游业首当其冲，全港导游工作停顿，旅行社也收入大减，尤其日前在机场发生的暴力事件，严重触怒内地和国际旅客。香港旅行社东主协会主席梁国兴表示，“我们对近期的暴力事件十分愤怒，也希望告诉游客，这不是真正的香港”。当日，游行队伍还前往湾仔警察总部，呼喊“反对暴力”“支持警察”等口号，并齐唱国歌。#反暴力救香港大集会# @环球时报 http://t.cn/AiHTBmd5 ,无,无,2019-08-16 20:58,微博 weibo.com,18,0,1
I2wAECmHh,广州日报,广州日报:【#香港警方发反对游行通知书#】香港警方向周六“红土”游行和周日民阵游行，发出反对通知书。警方解释，如果不作出反对，可能会再次发生冲突。警方反对明日在红磡、土瓜湾一带举行“红土”游行，九龙城警区指挥官杨文彬表示，当区有不少车房及旧楼，有很多火警危机，强调反对有关申请，是基于最近每次游行都有冲突发生。@人民日报 原图 ,无,无,2019-08-16 20:58,微博 weibo.com,1,0,0
I2wADca3w,贵州省未成年犯管教所,贵州省未成年犯管教所:#小未普法# 【香港警方警告：#机场生事最高可判终身监禁# 妨碍旅客出行可视为违法】14日，香港警方召开发布会介绍近期警方执法情况，会上警方发言人警告，在香港机场生事将会受到较重处罚。据了解，在机场的暴力行为导致他人死亡或受伤，最高可判处终身监禁，同时机场内妨碍旅客出行等行为均可能会触犯法律 。 http://t.cn/AiHxLqEm ,无,无,2019-08-16 20:58,iPhone客户端,0,0,0
I2wAD8rj0,韩东言,韩东言:都是在哄傻子干活。【你的仔是精贵的人仔，别人的就是廉价的猪仔？】有个老港独，一面在背后组织煽动年轻人搞乱香港，另一面当发现自己儿子也上街搞事时，痛哭流涕、痛彻心扉的劝说自己儿子不要去街上搞攻击，怕被抓坐牢十年。上梁不正下梁歪，癞蛤蟆没毛随根。#香港青年出路指南##守护香港##饭圈女孩##我们都有一个爱豆名字叫阿中##反暴力救香港##香港警察我们挺你##14亿人撑香港#  http://t.cn/AiHi9m9i ,无,无,2019-08-16 20:58,HUAWEI Mate 20 X,4,1,0
I2wrx3Alb,币圈牛德华,币圈牛德华:#联播重磅评香港透露了什么# 指责了一个月，批评了一个月，强烈谴责了一个月 废青越闹越大，他们要是能听得进去，也不会这样，从刚开始游行到暴力殴打他人，已经无法无天，香港jc在等什么？没办法处理说一声，不要让无辜群众再受到伤害！每一次看到有人流血，我都心疼！那可是我们的同胞，请问啥时候安排过去解放他们？还同胞安宁？？ http://t.cn/Ryh0ZSC 显示地图 原图 ,无,#联播重磅评香港透露了什么#,2019-08-16 20:36,OnePlus 7,2,0,1
I2wrvB5gq,周知惟,周知惟:【#香港机管局董事告诫暴力示威者#：如果你在美国这样做，不可能还在四处游荡】面对近期香港局势不断恶化，香港机场管理局董事盛智文在接受专访时称，因为这些暴力示威者一心想摧毁香港，但他们同时毁掉的还有自己的未来。他们认为为了自己的事业和理想，就算违法也是正当的，但这种行为在任何国家都是无法接受的。 如果你在美国这样做，不可能还在四处游荡http://t.cn/AiHHTtRp ,无,无,2019-08-16 20:36,微博 weibo.com,90,18,12
I2wrvyBug,大连大小事儿,大连大小事儿:【香港#阿sir唐僧式劝示威者#悬崖勒马】近日，一段香港警察劝诫示威者的视频走红网络。视频中，警察苦口婆心“喊话”示威者：如果非法集结，就要负刑责，看看手机里的群组，坐牢就谁也不能联系了…5年、10年、15年、25年，你数数要失去多少…我就是担心你们的安全问题…戳视频，感受下阿sir的用心良苦！http://t.cn/AiHTRHrf  中国日报 http://t.cn/RJyjtcN 显示地图 ,无,http://t.cn/RJyjtcN,2019-08-16 20:36,事哥工作室Android,0,0,0
I2wrgcdJx,青县司法,青县司法:#青县司法# 【香港警方警告：#机场生事最高可判终身监禁# 妨碍旅客出行可视为违法】14日，香港警方召开发布会介绍近期警方执法情况，会上警方发言人警告，在香港机场生事将会受到较重处罚。据了解，在机场的暴力行为导致他人死亡或受伤，最高可判处终身监禁，同时机场内妨碍旅客出行等行为均可能会触犯法律 。 http://t.cn/AiHxLqEm http://t.cn/AiHxLqEm ,无,无,2019-08-16 20:35,够快才畅快vivo X6,0,0,0
I2wraA6WE,主持俊儿,主持俊儿:#阿Sir唐僧式喊话示威者#【硬核感化！香港】近日一段视频展示，香港阿Sir对示威者温柔“喊话”，劝示威者离去，更表示担忧示威者安全。喊话内容告知示威者如果参与非法集结、刑事毁坏以至暴动，可能要面对长达25年监禁，25年啊，“你就愿意失去接下来的25年光阴吗？”@人民日报 http://t.cn/AiHHGz6C  ,无,无,2019-08-16 20:35,OPPO R11 Plus,0,0,0
I2wrazLPg,君子见其生,君子见其生:今日笑点，港独朋友霍霍澳洲干啥啊，退学回香港stand with hk啊，再不济去大陆闹啊咋中国大陆那么大国土搁不下你？澳洲人估计都一脸懵逼了你们的内讧搁我这整啥还给我的town hall整堵塞了。真诚建议港独朋友活出胆气，活出激情，先去堵一番金斯福德史密斯机场，让土澳人见识见识咱港独的本事，然后再果断退学回去来为香港本土战友助威，一起去堵hk机场打hk警察手拉手一起走不回头，书可以再读，耽误了香港可是一辈子的事啊！奋进吧！hk needs u。 http://t.cn/RBNdCid http://t.cn/AiHHY1Kf 显示地图 ,无,http://t.cn/AiHHY1Kf,2019-08-16 20:35,iPhone客户端,3,0,0
I2wra0Rb6,西川唐门,西川唐门:#阿sir唐僧式劝示威者#希望大家帮忙澄清澄清最近因为刘亦菲在微博上支持香港警察，被废青们刷到了香港趋势第一，美国趋势第三，全球趋势第十五，评论都在说香港警察暴力执法，颠倒是非，骂她支持施暴者，粉丝力量薄弱，希望大家帮忙澄清，还香港警察清白，拜托大家了! ! !🇨🇳 🇨🇳   [组图共3张] 原图 ,无,无,2019-08-16 20:35,小米8 SE,20,0,3
I2wmkm4tn,微微酱VV,微微酱VV:美团，Agoda ，携程，同程艺龙，马蜂窝等app终拿不可取消订单当说辞，不给取消合同订单，完全是违反了《消费者权益保护法》第26条的规定。同时，“不可取消”格式条款，违反了契约自由精神和契约平等。契约平等则是要求双方的权利和义务大致平等。这种“不可取消”格式条款，是商家单方赋权给自己赋予利益，单方免除商家应当承担的义务和责任和风险，单方增加、创设消费者的义务，责任风险，单方排除、剥夺了消费者享有权利和核心利益。酒店或者平台设定的霸王条款内容应当被认定为无效。无效的合同条款自始无效。也就是说，虽然合同中有此条款的约定，但法律视该条款为无物，就相当于这个条款本来就不存在。 介于以上依据，特向贵平台投诉，希望按相应规定退回我全部房费。@中国消费者协会 @同程艺龙官方微博@同程旅游 @香港天际万豪酒店 @12315消费者维权投诉 @美团  @Agoda安可达 @携程旅游网  @携程客服  @马蜂窝旅游 #香港天际万豪酒店# #香港是中国的香港# #我也支持香港警察# [组图共4张] 原图 ,无,无,2019-08-16 20:23,iPhone X,16,41,38
I2whD4qf8,绝不打酱油,绝不打酱油:听其言观其行，从香港码头工人包围长江实业集团总部等细节可以看出，李嘉诚从香港摘走的瓜可不小。他非但摘了香港的瓜，并且还成功地把瓜运了出去。不过，即便是吃瓜群众首先也要有瓜可吃，等到瓜都被摘完了，再多的怜悯和哀叹，都只是装装样子罢了。---------------------------------用古诗的好处，是有丰富的潜台词，用它来装点门面，也特别好使。李嘉诚在三年前引用《黄台瓜辞》的时候，正是他大规模转移资产的时候。香港的困局，诚如李嘉诚所言，不要把瓜都摘完了，大家在摘瓜的同时，还要记得给瓜施肥啊，这样新的一代才有力量继续生长下去。在摘完瓜之后，以悲伤的口吻哀求别人不要摘瓜，下手轻一点，这就显得很没有说服力了。由此可见，不动大资产阶级及其政治代理人是解决不了问题的！ ,无,无,2019-08-16 20:11,微博 weibo.com,0,0,0
I2whyysLV,青年报,"青年报:【用爱感化！香港阿Sir唐僧式""喊话""劝示威者离去】#阿sir唐僧式劝示威者# 近日网上有视频片段展示，香港马鞍山阿Sir对包围警署的示威者温柔""喊话""，劝示威者离去。喊话内容告知示威者如果有参与过非法集结、刑事毁坏以至暴动，可能要面对长达25年监禁 。同时还多次重复“25年监禁，25年啊，25年...失去25年光阴啊！”（这视频）http://t.cn/AiHjeXJ0 ",无,无,2019-08-16 20:11,微博 weibo.com,4,4,0
I2wiLEDvO,东西湖发布,东西湖发布:#香港局势#【激进示威共造成177名香港警务人员受伤】香港警方15日表示，6月9日至今，激进示威共造成177名警务人员受伤。在此期间，警方共拘捕748名激进示威者，检控115人。　　在当日的记者发布会上，香港特区政府警务处公共关系科高级警司江永祥表示，受伤的警员中包括11名女性。被检控的115人中，包括两名涉嫌参与香港国际机场暴力事件的嫌疑人。13日晚，这两名分别为27岁和28岁的男性嫌疑人暴力阻碍警方进入机场救援被困内地居民。        他透露，14日晚，大批示威者包围、袭击深水埗、天水围等多处警署，并攻击警务人员。警方共拘捕17名涉嫌非法集会、非法燃放爆竹及烟花、侮辱国旗、藏有攻击性武器、刑事毁坏、意图纵火等嫌疑人，年龄在15岁至61岁之间，包括15名男性和2名女性。 ,无,无,2019-08-16 20:14,HUAWEI P10,0,0,0
I2wiLlZy3,没错我是会员啊,没错我是会员啊:http://t.cn/RYKBloU[星星][星星][星星][星星][星星]，刚刚看完，太精彩了，超乎我的预期，冲着杨紫看的，其实最开始没抱期望，因为外国导演➕中国香港演员➕内地演员，我怕几种元素合在一起会水土不服，没有想到，剧情流畅，全程无尿点，故事叙述的也很完整，杨紫戏份比我想象的多多了，角色和之前的有很大区别，但是她表现得可圈可点，而且超漂亮还性感张家辉老师任贤齐老师演技不用多说，超级厉害 ,无,无,2019-08-16 20:14,iPhone 8,26,3,1
I2wiJgwLj,aibao爱保,aibao爱保:@电影-点这吧 人生的每一个阶段都会有朋友，或多或少，除非你是一个自闭症患者，  内心是与世隔绝的。孩提时候的朋友，今天闹了，明天又好了，后天也许就换新朋友了，记不得老朋友了；少年时候的朋友，多数和学校有关，但你总有毕业的那一天，毕业后，朋友聚少离多；还有在社会上认识的朋友，虽然常常在一起，但总有不常在一起的时候#香港各界支持止暴制乱# http://t.cn/AiHHKxOk ,无,无,2019-08-16 20:14,iPhone客户端,1,0,0
I2wiy2U0I,王小愚儿,王小愚儿:看墨尔本直播，刚刚中国的留学生直接举着国旗贴脸了，把之前HK这边有个小区域带着音箱演说的给挤占了，澳洲警察过来赶紧隔了一道墙，好笑的是，对面有好多像是来凑热闹的外国人，脸孔扭曲的发泄式的喊free HK，真的太魔幻了还有标题上的直播人数，也太自欺欺人了点还有就是香港这边好像也学会了sb这个词对骂了期望大家注意安全，看到有好几次都有明显的推搡，千万别动手就对了，有些人太会演了 原图 ,无,无,2019-08-16 20:14,微博 weibo.com,454,7,13
I2w6ZdO0p,蛋笨大是的念来过倒,蛋笨大是的念来过倒:感觉自己的逻辑还不错。大家注意，香港任何问题都得在一国两制的框架下讨论，如果对方偷换概念，越过一国两制跟你谈别的，那一切都是伪命题，根本没有讨论下去的意义和必要。图二阅读顺序由下而上哦(´-ω-`) 上一个打码没打好，重发一下#我们都有一个爱豆名字叫阿中##香港是中国的香港##中国[超话]##祖国反黑站[超话]#  [组图共2张] 原图 ,无,无,2019-08-16 19:45 ,中国超话,0,0,2
