微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2u6Fz4N7,【#清华校长开学寄语# 2019级本科新生】在#清华大学本科生开学典礼# 上，邱勇校长说：生命因融入浩荡历史而永不凋谢，个人因投身伟大事业而被永远铭记。同学们，希望你们顺应历史潮流，不负伟大时代，从历史文化中汲取奋斗力量、拓展胸襟视野、确立崇高信仰。挂云帆，踏万古江河；济沧海，铸不朽人生！ #开学季# 邱勇在清华2019级本科生开学典礼上的讲话：踏万古江河  铸不朽人生  清华大学的微博视频                                 ,无,无,2019-08-16 14:39 ,搜狗高速浏览器,715,115,64
I2w3Qr9M9,【#你好九字班# 新雅书院九字班来啦】“渊博雅正  器识为先  追求卓越  传承创新”8月14日，新雅迎来了九字班新生。除了学长学姐热情的迎接，新雅小机器人也在宿舍楼里迎新🤖邱勇校长寄语新雅新生，“希望同学们今后努力把个人的意义与清华的意义、国家的意义融合在一起，你们的未来将是无限。相信你们都读了《万古江河》，到历史的长河中去寻找意义，我们送同学们这本书有这个涵义；另外就是要有文化追求，追求精神上的东西，这也是我们新雅书院的培养目标中很重要的一点。”（图文：新雅书院）             [组图共9张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g61qawfa68j20u00jfn0b.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61qawo8umj20u00k6adv.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61qaww5mxj20u00k0775.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61qax2vmpj20u00k0tcs.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g61qaxxce2j20ro0im416.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61qax8bzlj20sn0is76m.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61qaxpuk9j20tu0kjdhr.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g61qaxdbjrj20on0hqaca.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61qaxk5z9j20u00k076z.jpg",无,2019-08-16 19:38,无,447,19,53
I2uM8miRJ,#你好九字班# 8月15日下午，清华大学2019级新生代表座谈会在工字厅召开。邱勇校长来到16位本科新生中间，倾听同学们的美好憧憬，畅谈对新同学的殷殷期盼。邱勇说，人生是一个持续攀登的过程，每一步都要付出努力，每一层都有新的风景，越到后来代价越大，但风景也会更加绮丽。随着地理位置的升高，我们的自身境界、修为和人生价值也在不断提升。这正是108岁的清华毫无沧桑之感，依然展现出少年心态的原因。http://t.cn/AiHYft5z             [组图共5张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g61lf5f61hj20ii0dntpd.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g61lfdglc2j20i20b4jxk.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61lf56e75j20ig0czk8h.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g61lf52i2mj20i20b47cx.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61lf52nwej20i20b4dol.jpg",无,2019-08-16 16:21 ,专业版微博,416,24,31
I2tFIgjF4,【那些年我们的“故事”】暑假快要结束了，久违的同学们、校友们又相聚到了一起，从读书、科研聊到恋爱、工作……还有，#我和我的祖国# （图文：清华小五爷园）  [组图共9张] 原图 ,"http://ww4.sinaimg.cn/large/63ea9369ly1g61gihzckuj20u02bvtha.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g61h069fvvj20u02ctzsm.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g61giixeyvj20u02cgdo1.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61gik9ni0j20u02c0119.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61gikkoz5j20u02c3jzu.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g61gikvbsuj20u02bsahg.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61gil9fe5j20u02cd10w.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g61gilpkz7j20u02cwdnx.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g61gim76fsj20mh6dxqs2.jpg",无,2019-08-16 13:33,无,574,64,46
I2tk4r1VQ,#科研速递# 8月15日，由清华大学地球系统科学系张强教授课题组和加州大学尔湾分校史蒂文·戴维斯（Steven J. Davis）副教授组成的国际联合研究团队在《自然》期刊发表题为《现有能源基础设施锁定排放威胁1.5℃气候目标》的论文，首次全面评估了现有和拟建能源基础设施的“碳锁定”效应，指出现存的高碳设备锁定排放将严重威胁1.5℃温控目标，以及全球向低碳社会转型的紧迫性。http://t.cn/AiHlUTnB                  原图                             ,http://wx1.sinaimg.cn/large/63ea9369ly1g61f0pr08vj20in0cvq7s.jpg,无,2019-08-16 12:39 ,搜狗高速浏览器,198,8,13
I2teP5pGc,8月12日，清华大学兼职教授、战略与安全研究中心主任傅莹出席第六届全国对外传播理论研讨会，并作了题为《传播是人与人的对话》的大会发言。傅莹认为，传播说到底是做人的工作，是人与人的对话和交流。讲中国故事，首先是讲好中国人的故事，真实的故事最有说服力。有时一个小故事就可以说明白大道理，不是每个传播都需要宏大叙事。我们的故事是讲给人听的，内容中要有人，有普通人的喜怒哀乐。http://t.cn/AiHlZo4j                  原图                             ,http://wx4.sinaimg.cn/large/63ea9369ly1g61enaphqpj20i20b4451.jpg,无,2019-08-16 12:26 ,搜狗高速浏览器,222,11,7
I2nbWBUcb,【清华举行2019级本科新生亲友交流会】8月14日，2019级本科新生入学报到，当天下午“学在清华”新生亲友交流会如期召开。清华大学副教务长、教务处处长李俊峰，学生处处长白本锋面向新生亲友，围绕人才培养、育人理念等作了两场别开生面的报告。千余名新生亲友们如约而至，在这里进一步了解清华的本科生教育。（采写：李晨晖）             [组图共3张]      原图                             ,"http://ww1.sinaimg.cn/large/63ea9369ly1g60nx0ctqej20u01iu7ay.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g60nwzwsxej20u01niwlz.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g60nx0xx3mj20u01s0tix.jpg",无,2019-08-15 21:03,无,393,11,18
I2n7O6V5Y,错过了#北京彩虹# 却在园子里看到了惊艳的#北京闪电# ⚡️#随手拍清华# （伊丽 摄） 清华大学的微博视频  ,无,无,2019-08-15 20:53,无,21065,1057,1316
I2mochiRr,【清华体育代表队，我们来报到啦！】8月14日，清华大学迎来了3800余名2019级本科新生。清华大学体育代表队也设置了迎新报到点，贴心地为每位新生准备了体育代表队纪念品和学生手册等，并为新队员在队旗下合影留念，留下宝贵的入学记忆。据悉，在代表队新生中，共有A类队新生19名，B类队新生19名。#无体育 不清华##你好九字班# （图文：清华大学体育代表队）             [组图共9张]      原图                             ,"http://ww4.sinaimg.cn/large/63ea9369ly1g60k70c2pyj20u00k0dio.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g60k6ya2c7j20u00k0ju7.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g60k6z7tu5j20u00k0whf.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g60k6yqucjj20u00k0mzz.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g60k70tetcj20u00k0die.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g60k6zufp5j20u00k0gog.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g60k74jv2xj20u00k041u.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g60k73x595j20u00k0adq.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g60k74vc1vj20u00k077b.jpg",无,2019-08-15 19:00,无,1114,27,64
I2lFOB2CD,【清华本科新生董佳林：在奋斗中成就未来】在2019年#清华大学本科生开学典礼# 上，来自电子信息大类的董佳林作为新生代表发言，他说，考上清华，是我们值得骄傲一生的事。但这份骄傲的来源，绝不止只是在清华上过学的经历，而应该是我们未来四年中收获的知识、能力和肩负使命、追求卓越的精神。清华新生代表董佳林：在奋斗中成就未来 #开学季# （视频：清华电视台） 清华大学的微博视频                                 ,无,无,2019-08-15 17:11,专业版微博,1718,145,127
I2lAnd3Da,【清华学姐寄语2019级本科新生】在2019年#清华大学本科生开学典礼# 上，校学生会主席、2015级化工系杨雯惠作为在校生代表发言，她说：我们无法预知未来每一种选择的结果，但我可以和大家分享清华人都做着什么样的选择。清华人的选择，是少一些盲从，多一些探索；少一些安逸，多一些拼搏；少一些推脱，多一些担当。选择清华，你一定会不虚此行！杨雯惠在开学典礼上的发言 | 做“最清华”的选择 #开学季# （视频：清华电视台；封面：李派） 清华大学的微博视频                                 ,无,无,2019-08-15 16:58,专业版微博,4925,748,275
I2lsqgNOH,【#清华大学教授勉励新生# 】#清华大学本科生开学典礼# 上，教师代表电机系教授于歆杰说，在清华，大多数学生学习比中学更辛苦，不少白发苍苍的老教授每天工作10个小时以上。只要你想变得更强，就需要持续地爬坡，就需要付出更多失败的代价，任何人都是如此。清华教师代表于歆杰：如何在人生的马拉松中跑好清华这一程（视频：清华电视台；封面拍摄：李派）  清华大学的微博视频                                 ,无,无,2019-08-15 16:38,搜狗高速浏览器,1322,465,110
I2l492uyk,【#你好九字班# 马来西亚新生蔡紫榕：水木清华 一见倾心】蔡紫榕（Chua Zhi Rong）即将进入自动化与工业工程类学习。今天，刚刚参加完开学典礼的蔡紫榕格外激动。“看到济济一堂的新同学，我觉得自己很幸运能和他们坐在一起，但同时觉得自己也很渺小，更加需要努力奋斗。”蔡紫榕说。去年，蔡紫榕作为马来西亚马六甲培风中学的学生代表参加了2018年清华大学暑期学校，并担任国际班班长。正是暑期学校的经历，让她对清华油然而生无限的向往。她与记者谈起选择清华的心路历程：“参加暑期学校让我加深了对清华的了解。清华优雅的环境、厚重的底蕴、美味的菜肴，还有浓厚的运动氛围都让我心生向往，坚定了要来清华求学的决心。”身材娇小的蔡紫榕还是所在高中的篮球队后卫队员，她笑着说：“虽然一直当后卫，但也有一颗做中锋的心。清华的篮球场随处可见，真是太棒了！”读书也是蔡紫榕的爱好之一，“清华的图书馆不仅藏书多而且环境优雅，给人舒适安宁的感觉，开学后最想做的两件事就是打篮球和去图书馆读书。” 蔡紫榕说。独立来清华报道的蔡紫榕一下飞机就感受到家的温暖。“我的航班凌晨才到达北京，清华大学学生马来西亚联谊会的学长学姐们将我接回学校，还帮我置办各种生活必备品，非常感动。”开学典礼上邱勇校长对于历史文化重要性的诠释令蔡紫榕印象深刻。“邱勇校长寄语我们要从历史文化中获取自信、汲取力量。历史是一块明镜，为我们照亮前行的路，现在的我们还有什么理由不努力呢？我们要在历史文化中获取持久的自信和力量，传承前辈的不朽精神，砥砺前行！”（记者 吕婷）                  原图                             ,http://wx3.sinaimg.cn/large/63ea9369ly1g60ekgcakjj20i20boahd.jpg,无,2019-08-15 15:38,搜狗高速浏览器,425,10,25
I2jYrzYQ2,【#你好九字班# 黄子晴：因了解而热爱，因热爱而进取】“如果说校长赠书《万古江河》给我们这些理工科学生补了中国历史文化的重要一课，那么今天邱勇校长的讲话便是寄予新生们深沉的嘱托和热切的期望。”来自北京的2019级新生黄子晴在聆听了邱勇校长在2019级#清华大学本科生开学典礼# 上的讲话后，对未来有了更多期待。黄子晴的母亲也来到了开学典礼现场，她感概地说：“现场观看开学典礼，作为新生家长尤为觉得震撼和感动，校长这句‘人生的意义只有在服务国家、贡献社会的奋斗中才得以彰显’的寄语，相信孩子们会铭记终生！”黄子晴入读清华大学计算机科学实验班（简称“姚班”），为什么选择姚班呢？黄子晴解释称，清华的计算机学科的专业水平一是全国首屈一指的，也是位居世界前列的。而自己一直以来对计算机科学比较感兴趣，希望在学习后进入该领域，并为国家的计算机学科的发展贡献一份力量。（文图：李晨晖）                  原图                             ,http://wx2.sinaimg.cn/large/63ea9369ly1g609nkh8fgj20i20b4wjr.jpg,无,2019-08-15 12:51,专业版微博,645,16,43
I2jIbmoQ4,#你好九字班# 祝贺你们通过自己的努力成为清华大家庭的一员！相信在“自强不息、厚德载物”校训和“行胜于言”校风的熏陶下，你们一定会拥有一个无限的未来！#开学季# （摄影：杨丽英、杨思维、李派、霍元东、王怡臻）  [组图共9张] 原图 ,"http://ww1.sinaimg.cn/large/63ea9369ly1g608e2je88j21900u0n1j.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g608eb13afj213o0u0agc.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g608e5rs7uj21900u0462.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g608e8m03yj21900u0468.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g608fjtwzaj21900u0gyv.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g608ed6ufpj216x0u00zx.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g608pr7o4zj21b50u0wl3.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g608hg6l51j20x10u07b7.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g608egtrimj21c30u0k0p.jpg",无,2019-08-15 12:11,无,910,22,56
I2jtO9s9I,【清华新生代表董佳林：在奋斗中成就未来】在2019年#清华大学本科生开学典礼# 上，来自电子信息大类的董佳林作为新生代表发言，他说，考上清华，是我们值得骄傲一生的事。但这份骄傲的来源，绝不止只是在清华上过学的经历，而应该是我们未来四年中收获的知识、能力和肩负使命、追求卓越的精神。#开学季#  清华新生代表董佳林：在奋斗中成就未来                                 ,无,无,2019-08-15 11:36,微博 weibo.com,1111,102,77
I2jok6sE9,【在校生代表杨雯惠在开学典礼上的发言：做“最清华”的选择】校学生会主席、2015级化工系杨雯惠同学在#清华大学本科生开学典礼# 的发言中说：在过去的四年生活中她发现两个规律，第一个规律是，起起是偶然，落落落落才是我们生活的常态，用一颗平和从容的心去接纳困难，才能让我们拥有更好的状态去战胜它。第二个规律是，只要思想不滑坡，办法总比困难多。#开学季#  杨雯惠在开学典礼上的发言 | 做“最清华”的选择                                 ,无,无,2019-08-15 11:22,微博 weibo.com,2515,396,92
I2jilugje,#清华大学教授勉励新生# 【清华教师于歆杰：如何在人生的马拉松中跑好清华这一程】教师代表于歆杰在#清华大学本科生开学典礼# 上的发言中说，挫折教育，是每位清华新生都必须上的一课。从高中阶段通过横向比较学习成绩的竞争心态，过渡到在大学阶段学会欣赏他人优点，激励自我进步，可能是每位清华学生都需要经历的一个思路转换。#开学季#  清华教师代表于歆杰：如何在人生的马拉松中跑好清华这一程                                 ,无,无,2019-08-15 11:08,微博 weibo.com,736,227,48
I2jb1Eadn,【#清华校长开学寄语# 2019级本科新生：踏万古江河  铸不朽人生】 在#清华大学本科生开学典礼# 上，邱勇校长说：生命因融入浩荡历史而永不凋谢，个人因投身伟大事业而被永远铭记。同学们，希望你们顺应历史潮流，不负伟大时代，从历史文化中汲取奋斗力量、拓展胸襟视野、确立崇高信仰。挂云帆，踏万古江河；济沧海，铸不朽人生！ 邱勇在清华2019级本科生开学典礼上的讲话：踏万古江河  铸不朽人生                                 ,无,无,2019-08-15 10:50,微博 weibo.com,13959,1622,496
I2j3zsgPz,#清华大学本科生开学典礼# 花絮（视频：刘蓓；封面：霍元东） 清华大学的微博视频  ,无,无,2019-08-15 10:31,专业版微博,575,31,43
I2iXI3bAs,“西山苍苍，东海茫茫，吾校庄严，巍然中央。东西文化，荟萃一堂，大同爰跻，祖国以光……”无论何时何地，校歌响起，我们都会心潮澎湃，热血沸腾！我爱你，清华！#清华大学本科生开学典礼# （摄影：杨思维、王怡臻、刘麓成）  [组图共6张] 原图 ,"http://ww2.sinaimg.cn/large/63ea9369ly1g605187ulpj21900u01kx.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g60517pha1j21900u07po.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g60518se8tj21900u0qv6.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g60518wiufj21900u0avm.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g60518srnqj21900u0qn2.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g60517wkn1j21900u04h5.jpg",无,2019-08-15 10:17,专业版微博,1408,73,113
I2iTxbQzZ,今天，很多新生同学的亲友也来到了综合体育馆，参加#清华大学本科生开学典礼# 亲眼见证这个激动人心的时刻。学校还在新清华学堂、音乐厅、主楼后厅和第六教学楼为各位亲友设置了现场直播。（摄影：杨思维、霍元东）  [组图共4张] 原图 ,"http://ww2.sinaimg.cn/large/63ea9369ly1g604vt1fm3j21900u0npd.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g604vspupzj21900u0kjl.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g604vsyhfyj21900u0qv5.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g604w673y5j21cr0u0x6r.jpg",无,2019-08-15 10:07,专业版微博,594,11,20
I2iLR88Ju,【带上校徽，从此成为“清华人”】#清华大学本科生开学典礼# 上，校党委书记陈旭老师为新生代表董佳林同学佩戴校徽。在场全体新生郑重地为自己佩戴上清华大学校徽。这枚校徽，不仅代表着“清华人”的身份，更承载着清华“自强不息，厚德载物”的精神，承载着清华人的使命与荣光。（摄影：石加东、刘麓成、王怡臻）             [组图共6张]      原图                             ,"http://ww1.sinaimg.cn/large/63ea9369ly1g604f22v86j21900u0qv5.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g604f1h8nbj21900u01kx.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g604f17aygj21900u07jf.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g604mvnfurj21900u07ab.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g604op28zij21900u07a6.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g604myqmmtj21900u0q8g.jpg",无,2019-08-15 09:48,搜狗高速浏览器,1226,38,110
I2iHxosh1,【52位中学校长及老师参加#清华大学本科生开学典礼# 】中学是各位新生成长的摇篮，学生们的每一点成绩，都凝聚着你们的心血和汗水；他们的每一点进步，都离不开你们的帮助和教诲。感谢中学与清华共育英才，成为他们共同的母校！欢迎各位中学校长及老师的到来！（摄影：霍元东）  [组图共3张] 原图 ,"http://ww2.sinaimg.cn/large/63ea9369ly1g604mhoxcwj21900u0dnv.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g6043vyz6sj21900u0hdz.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g6043usx9mj21900u0npi.jpg",无,2019-08-15 09:37,专业版微博,521,19,27
I2iE5vr2Y,刚刚在#清华大学本科生开学典礼# 发言的在校生代表杨雯惠同学提到的“新学期学习加油糖”你收到了么？这4000份创意糖果都是由清华大学学生会的师兄师姐们亲手包装的，糖果虽小，但却饱含了对师弟师妹们最真挚的祝福#你好九字班#  原图 ,http://wx2.sinaimg.cn/large/63ea9369ly1g603vtb5kkj20u00h8n85.jpg,无,2019-08-15 09:29,专业版微博,1214,19,67
I2izif6kw,我在#清华大学本科生开学典礼# 现场（摄影：邓溪萌、王怡臻）  [组图共9张] 原图 ,"http://ww3.sinaimg.cn/large/63ea9369ly1g603fkwk5ij21900u0qsi.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g603h6uij3j21910u04ed.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g603hhujlsj21900u0x6r.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g603h7nla8j21900u0x6p.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g603h93ag7j21910u0hdb.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g603h7j214j21900u0u0z.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g603fp2hs8j21900u0txg.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g603fu460fj21900u0x6t.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g603fncpefj21900u0x6p.jpg",无,2019-08-15 09:17,专业版微博,646,19,49
I2iwXprdM,#你好九字班# 看到你们青春洋溢的样子真好开学快乐！#清华大学本科生开学典礼# （摄影：霍元东 邓溪萌）  [组图共9张] 原图 ,"http://ww3.sinaimg.cn/large/63ea9369ly1g6039lcabgj21900u0hdy.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g6039jy3rtj21900u0hdy.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g6039nzvsqj218q0u0hdy.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g6039nigftj21900u01l4.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g6039mt0y6j21900u01l2.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g6039lmfqij21900u0b2f.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g6039q8rxpj21900u0npj.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g603aza5l0j218z0u01l7.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g603axdwc8j21910u0npe.jpg",无,2019-08-15 09:11,搜狗高速浏览器,17449,330,1156
I2irTAklH,8月15日上午9点，清华大学2019级本科生新生开学典礼在综合体育馆举行。3800余名中外新生由此正式开启清华园崭新的求学时光。欢迎收看#清华大学本科生开学典礼# 直播！#开学季#  清华大学的微博直播 .  ,无,无,2019-08-15 08:58,微博网页版,677427,9352,16250
I2ipHFpGy,#清华大学本科生开学典礼# 马上就要开始啦（摄影：苑洁 杨思维 邓溪萌）  [组图共9张] 原图 ,"http://ww3.sinaimg.cn/large/63ea9369ly1g602sjq5loj21cr0u04qr.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g602swnyudj21900u0aw1.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g602tqxso5j21900u018q.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g602siwbczj21cr0u0qv6.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g602sxhwzbj21900u0e84.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g602sk264fj21cr0u0e83.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g602sjlumfj21cr0u04qq.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g602skd3enj21cr0u01kz.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g602si57ddj21cr0u07wi.jpg",无,2019-08-15 08:53,专业版微博,1092,38,131
I2hwpoGWu,【听说你们系的吉祥物是混粘土哈哈，我们系吉祥物是一瓶酒】在清华2019级新生报到现场，不仅有每个大类学长学姐的热情迎接、学校为新生准备的各种贴心服务，还有一群神秘可爱的朋友——各院系的吉祥物们也来到了现场。快来认识一下这群#清华园里的神兽# 小可爱们吧🤗🤗（图文：清华大学学生会）             [组图共9张]      原图                             ,"http://ww1.sinaimg.cn/large/63ea9369ly1g5zykpfz5qj20u03sn4ag.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5zykpsoy6j20u03pzgw6.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5zykq5xekj20u041qk3g.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5zykrw978j20d91o0dit.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5zykp5b9zj20sa0b4djz.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5zykqk14ij20u044ena4.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5zykr0yz4j20u03jbaj9.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5zykrc0d7j20u03v9alv.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5zykrpxuij20u02m5wn4.jpg",无,2019-08-15 06:37,无,655,55,66
I2dfYivHg,此刻，在紫荆操场看到的大月亮🌝2019年的初秋，我们在清华园团聚#我在清华第一天##随手拍清华# （摄影：伊丽）  原图 ,http://wx2.sinaimg.cn/large/63ea9369ly1g5zhv2t2czj21400u0aac.jpg,无,2019-08-14 19:45,无,1436,29,96
I2cNUa99a,【直播预告：明天欢迎收看#清华大学本科生开学典礼# 】8月15日9:00，清华大学2019级本科生开学典礼。我们将在清华大学微博进行直播，欢迎收看🤗🤗#清华大学2019年开学典礼##开学季#  原图 ,http://wx1.sinaimg.cn/large/63ea9369ly1g5zdtb3ei3j20u00ihdjd.jpg,无,2019-08-14 18:36,无,1410,51,115
I2cLK2NJP,【校领导看望2019级本科新生】#你好九字班# 8月14日，清华大学3800余名2019级本科新生入校报到。清华大学校长邱勇、校党委书记陈旭，常务副校长王希勤，副校长吉俊民、杨斌，党委副书记过勇等校领导分别来到综合体育馆、院系迎新点和学生宿舍等区域，看望前来报到的新生及其亲友，慰问参与迎新工作的师生员工。http://t.cn/AiHI6F8N             [组图共9张]      原图                             ,"http://ww4.sinaimg.cn/large/63ea9369ly1g5zdx3mmv2j20u00ks40e.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5zdx52zd5j20u00l9gos.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5zdx3yuojj20u00l978d.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5zdx5pbwfj20u00miq5z.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5zdx4jae9j20u00me76s.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5zdx49codj20u00kz778.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5zdx60c1rj20u00mowh6.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5zdx5f98dj20u00ndjv5.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5zdx6bsz4j20u00l2tbn.jpg",无,2019-08-14 18:31,无,1017,46,83
