微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2cBywl75,【开学惊喜清华新生的5G初体验】清华紫荆学生社区成为#全国首批5G应用示范区# 。在清华大学2019年迎新现场，同学们可以实际感受到5G技术带给社区的变化。边缘计算技术，可以让无人驾驶巡视车，对迎新现场内的人群进行识别，实时统计已经来到学生社区的新同学，为大家做好服务准备。而自动售货无人车，则随时为社区内的同学和家长提供饮料、纸巾等零售服务。此外还有清洁机器人在迎新现场打扫卫生、安全知识宣讲机器人讲解社区安全知识……（摄影：王怡臻等）             [组图共3张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g5zd63nuprj20u00l9n0d.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5zd640wtmj20u00kz0w5.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5zd64dc3wj20u00wbq6o.jpg",无,2019-08-14 18:06,无,767,28,57
I2c8wnDa8,【#双胞胎高考哥哥705弟弟718# 的兄弟俩一起来清华报到】#开学季# 清华大学2019级新生中有4对双胞胎，这两位来自四川成都石室中学的兄弟就是其中之一。哥哥张家豪选择了电子信息类就读，弟弟张家杰将进入清华人工智能学堂班学习。今天，家豪家杰的父母也来到清华园送两个儿子上大学，爸爸妈妈说，希望儿子们在清华得到锻炼和成长，希望他们成为对社会、对国家、对世界有用的人。家豪家杰，加油[加油][加油]  清华大学的微博视频                                 ,无,无,2019-08-14 16:54,搜狗高速浏览器,4594,178,236
I2bBukWkg,#新生柯洁清华报到# 今天上午十点，九字班新成员柯洁来到清华园报到。他一出现立刻吸引了很多同学的目光，不少新生来和他合影他都开心答应，这位阳光又随和的大男生原来和大家一样，从小就梦想上清华，而且原来柯洁爸爸的梦想也是上清华！柯洁还说他想加入学生社团，期待一下他会选择什么社团呢？祝贺柯洁圆梦清华园，希望更努力的柯洁在清华更优秀！#开学季#  （视频：方锶 王子轩 郭艺博；封面：靳翔宇） 清华大学的微博视频                                 ,无,无,2019-08-14 15:33,专业版微博,4613,222,216
I2bq6oCBb,#你好九字班# 清华人的热情你们感受到了吗（邓溪萌、何康、王怡臻、杨思维摄）  [组图共9张] 原图 ,"http://ww3.sinaimg.cn/large/63ea9369ly1g5z7qrg4irj21900u0n50.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z7qtmsi1j218z0u07g0.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z7uxeynij21900u0dlk.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z7uxy9d2j21900u0wmm.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z7uyhimgj21900u0wn9.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z7v07o9mj21900u0jya.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z7yoco7lj21900u0wlc.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z7yo2p33j21900u0793.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z842kv1ij21900u07b6.jpg",无,2019-08-14 15:05,无,791,30,62
I2blJ8hqv,【#大学的第一份感动# 学长接我来清华】四点半起床，五点二十从学校出发，今天，清华大学学生会的志愿者们兵分六路，在北京站，北京西站北一出站口、北二出站口、南一出站口、南二出站口、南三出站口迎接新生，你遇到这些热情的“蓝马甲”了吗？#你好九字班#  [组图共9张] 原图 ,"http://ww1.sinaimg.cn/large/63ea9369ly1g5z7h1w4qjj21530u0zvk.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z7i8n9sdj21400u0dld.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5z7jaxmwej21400u0n46.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z7hvhh6jj21400u00z8.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z7hudsqzj21400u0aeu.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5z7ni669gj21400u0jyo.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z7lx69qhj21400u0qbt.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z7ntga02j21400u0tfs.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z7h0tgomj215g0u0tgq.jpg",无,2019-08-14 14:54,无,1348,41,81
I2bcGCTg2,#你好九字班# 第一次以主人的身份来到清华园、拥有属于自己的第一辆车、拥有带自己照片的清华校园卡、第一次给校园卡充值、第一次有了“宇宙中心五道口”的房间、第一次亲口吃到传说中的清华美食……这是#我在清华第一天# ！新的开端，新的起点！未来，加油[加油][加油]（摄影：何康、苑洁）  [组图共9张] 原图 ,"http://ww4.sinaimg.cn/large/63ea9369ly1g5z70ed66bj21900u0dux.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z6y3udnrj21900u0hdz.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z6o9dl00j21900u0ti3.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z6pumcaej21900u016c.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z6pv6sqkj21900u0qla.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z6o942xoj21900u0tos.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z6o9my14j21900u0wx9.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z6obm4c8j21900u04qu.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z6pv08e3j21900u04iu.jpg",无,2019-08-14 14:32,搜狗高速浏览器,861,38,84
I2b3QqIzE,#你好九字班# Hi！你们知道我来自哪个院系吗？（靳翔宇 摄）  原图 ,http://wx4.sinaimg.cn/large/63ea9369ly1g5z6cx3o5sj22720u0u14.jpg,无,2019-08-14 14:10,搜狗高速浏览器,953,20,113
I2aTMmZ2F,我们开学啦！#你好九字班# #开学季# （摄影：苑洁、李派、靳翔宇、何康、霍元东、王怡臻、邓溪萌）  [组图共9张] 原图 ,"http://ww2.sinaimg.cn/large/63ea9369ly1g5z5d1a697j218y0u0kjl.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z5ctz1yfj21900u0qva.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z5csb9xvj21cr0u0hdu.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z5ij0mqmj216j0u04qt.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z5dswxxgj21900u01l0.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z5jnc6srj21900u0wq9.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z5jo4j4nj215q0u0187.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z5mbumbzj21900u01kx.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z5mbn8hqj21900u0qmf.jpg",无,2019-08-14 13:45,搜狗高速浏览器,2182,55,125
I2aLLEBqF,#你好九字班# 2019年清华大学录取的国际学生来自全球51个国家，主要生源国为马来西亚、美国、韩国、俄罗斯、加拿大等。过去一年，随着清华大学综合实力和国际影响力的持续增强，清华大学的国际排名有明显上升，更多优秀的国际学生选择清华开启自己的本科生涯。由于报名人数增多，清华在美国东西海岸、马来西亚、日本、韩国分别设立海外考核点，并在马来西亚、印尼、日本、韩国等国家的多所中学开展iTsinghua学堂系列讲座，颇受国外高中生欢迎。（摄影：苑洁、霍元东）             [组图共9张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g5z53rka5tj21900u0nph.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z53gto4hj21cr0u0b2a.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5z53pjwinj21900u0npi.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z53sddioj21900u0u12.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z53fpmirj21cr0u0b2a.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z53mwgumj21900u04qu.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z5618y6sj218z0u0dmw.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z566os3ij218z0u0wlj.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5z567lxk6j21900u0wmm.jpg",无,2019-08-14 13:25,搜狗高速浏览器,937,21,65
I2aCZlcod,【力促教育公平 清华2019新生中寒门学子录取创历史新高】#你好九字班# 今年，清华大学主动将自2011年首创并实施的“自强计划”升级为“自强行动”，聚焦国家深度贫困区，力促教育公平，积极为来自边远、贫困、民族地区的寒门学子圆梦清华创造条件和机会。共有194人通过自强计划获得了30-60分的降分认定，最终106人成功考入清华，认定人数与录取人数均创历史新高。另外，清华通过国家专项计划录取273人，比去年增加7人，自国家专项计划实施以来全部超额完成录取计划。#开学季# （摄影：苑洁、李派）             [组图共6张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g5z4hg2h6bj21900u0e85.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z4ke1wkyj21900u01l5.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z4kh0w69j21900u0x6y.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z4he7i2wj21900u04qu.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z4mjnlfkj21900u01l1.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5z4ml0r2rj21900u0b2d.jpg",无,2019-08-14 13:04,专业版微博,1340,43,168
I2aB9BVVT,"【清华大类改革受到广泛认可 考生专业更为多元】#你好九字班# 今年，是清华大学推行大类招生、培养和管理改革的第三年。实施三年来成效显著，学生的专业入学志愿和专业确认志愿满足率稳定维持高位,超过九成学生通过高考志愿填报及专业确认环节进入到了自己的心仪专业，更多学生从自身的专业志趣出发结合国家战略发展需要理性、科学地选择专业，计算机类，经济、金融与管理类，文理通识类，电子信息类，自动化与工业工程类，环境、化工与新材料类等专业的学生志愿呈现更加合理、多元的分布态势。更多学生和家长在报考时不再拘泥于本科阶段的专业，而是将整个高等教育进行统一规划，本科阶段更加注重大学的学风、育人理念和价值观。（摄影：苑洁 何康 霍元东）             [组图共9张]      原图                             ","http://ww4.sinaimg.cn/large/63ea9369ly1g5z4b7tp6vj21cr0u0x6q.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z4b5bdruj21cr0u0kjm.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z4b6rslvj21cr0u0qv6.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5z4e0buctj21900u0463.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z4dmcdggj21900u0qat.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z4edpjuwj218q0u0n5q.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z4dngjikj21900u0q9z.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z4dld93wj21840u0gu5.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5zjqvga4cj21900u0qai.jpg",无,2019-08-14 12:59,专业版微博,411,16,33
I2azImizL,【30名新生入选智班 师从姚期智院士学习】#你好九字班# 今年5月18日宣布成立的清华大学人工智能学堂班完成了首次选拔，共录取30人，其中包括14名保送生、12名自主选拔考生以及4名高考统招学生。来自广西南宁二中的杨晨煜、四川石室中学的张家杰、北京汇文中学的张凯风都对人工智能非常感兴趣，高考后毫不犹豫地报名智班选拔，并成功通过测试进入智班。未来，这些学生将在姚期智先生的引领下努力成长为人工智能领域领跑国际的拔尖创新人才。杨晨煜认为，人工智能是工业4.0的核心，是未来的战略制高点，希望能探索人类智慧中的奥秘，实现更深层次的智能，为国家贡献自己的智慧和力量。张凯风则表示，智班是让自己心动的机遇，希望通过交叉学科充分发挥自己物理方面的特长。                  原图                             ,http://wx1.sinaimg.cn/large/63ea9369ly1g5z491gyclj21cr0u0qv6.jpg,无,2019-08-14 12:56,专业版微博,2053,98,109
I2awk1E4K,【#你好九字班# 天津双胞胎姐妹携手走进清华】毕业于天津南开中学的戴蓓、戴蕾是清华2019级新生中唯一一对双胞胎姐妹。姐姐戴蓓入读临床医学类，妹妹戴蕾则是化生类新生。姐妹俩的容貌和专业虽然不完全一样，对起话来却是异口同声、格外默契。爱唱歌、爱画画、爱动漫、爱打羽毛球……作为理科生，姐妹俩的兴趣爱好丰富多彩，性格也非常活泼开朗。选择医学和化生专业，她们对紧张的学业强度已经作好了思想准备，尽管如此，她们还是希望能积极参与体育锻炼、学生社团和社会工作，在全面发展的过程中全方位体验清华的精彩与优秀。（文：程曦；图：苑洁）                  原图                             ,http://wx1.sinaimg.cn/large/63ea9369ly1g5z40d7nt9j21cr0u04qq.jpg,无,2019-08-14 12:47,专业版微博,1021,16,65
I2av2efWf,【#你好九字班# 柯洁：梦想伊始，一切皆有可能】 #柯洁清华大学报到# “进入清华第一件要做的事情，那就是顺利完成报到！”柯洁一手拿通知书，一边笑着弯腰认真办理入学手续，阳光洒脱，笑容温暖。作为近几年中国围棋第一人以及世界顶尖围棋选手，柯洁目前已是世界围棋史上最年轻的“七冠王”，从四段直升九段，17岁时已排名世界第一。2017年5月，他与人工智能机器人AlphaGo的三盘大战，更是引起全世界的瞩目。柯洁今年22岁，已经是中国棋坛上的传奇人物。然而就在这一年，他做出了人生的一个重要决定：加入清华，成为清华人！在被保送清华后，他曾表示：“我希望能够沉淀下来，去安心地做一件大家都觉得很平常、每个人都会经历的事——上大学。”“选择清华，就意味着要比别人付出更多的努力。”新生报到前不久，柯洁仍然一直在努力学习，每天都读书到很晚，“围棋比赛和学习都非常重要，只有花费比别人更多的时间，才能追赶上来。”面对大学生活，柯洁希望沉下身心，能像大家一样面对大学这个新起点、新征程，希望分配好学习和下围棋的时间，不希望大家对运动员有刻板印象。第一次以清华人的身份走进校园，柯洁表示充满期待。“梦想才刚刚开始，未来的路要踏踏实实、一步一步走，我会努力与老师同学们好好相处，多向他们学习，不断提升自我。”（文：赵姝婧 方锶；图：苑洁）                  原图                             ,http://wx4.sinaimg.cn/large/63ea9369ly1g5z3v3kistj21cr0u0npe.jpg,无,2019-08-14 12:44,搜狗高速浏览器,3185,112,174
I2apOjWEK,【#你好九字班# 刘雨桐：多次亲近清华 终于圆梦新雅】毕业于襄阳四中的文科考生刘雨桐曾参加过清华大学的暑期学校、人文社科冬令营和优秀新生夏令营等活动。她说，多次亲近清华，但每一次的心境都不一样，“现在正式成为了清华人，对清华生活充满了期待！”刘雨桐在迎新当天显得格外沉着而自信。刘雨桐即将进入新雅书院学习，她说：“未来社会需要的是通识人才，我希望自己在新雅书院的学习中全面发展。”（文图：王媛媛）                  原图                             ,http://wx2.sinaimg.cn/large/63ea9369ly1g5z3jr1r09j20i20b4gqm.jpg,无,2019-08-14 12:31,专业版微博,843,21,57
I2aoQ2hlU,【#你好九字班# 国际新生冉宁可：酷爱计算机的中国迷】在清华综合体育馆的国际本科新生报到现场，来自美国的冉宁可（Nicholas Matthew Ramos）正在排队办理报到手续。酷爱计算机和数学的他即将进入清华大学计算机大类学习。“我对软件开发很着迷，希望用数学这一强大的工具解决计算机科学上遇到的很多问题。清华大学的计算机学科很厉害，我期待今后能在这一领域认真钻研。”冉宁可说。冉宁可还是位中国迷，他从高中开始学习中文，已经有三年学龄的他可以流畅地用中文与人进行交流。冉宁可还自编了学习中文的程序Fluent Reader，并与周围喜欢中文的同学分享自己编写的程序和学习心得。冉宁可高中就读于伊利诺伊州数理高中，在这样一所人才辈出的学校，冉宁可不但各科学习成绩优异，而且在学校内外的许多活动中表现出卓越的领导才能。他曾连任高中学生乐团的团长，还是学校科学与计算机代码俱乐部的负责人。为了更好地适应新生活，冉宁可特意提前几天来到清华。“清华真的太漂亮了！这几天我才参观了一部分校园美景，未来还要好好探索。”面对未来，冉宁可满怀憧憬：“能够一边提升中文一边学习计算机专业真的太棒了！未来想去中国的互联网公司工作，将自己的热爱付诸实践。”（文：吕婷；图：苑洁）             [组图共2张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g5z3g36moxj21cr0u0b2a.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z3gpefkcj21900u04qv.jpg",无,2019-08-14 12:29,专业版微博,1264,27,71
I2anrbp6r,【#你好九字班# 四川双胞胎双双圆梦清华】“9字班”新生中共有4对双胞胎，来自四川石室中学的张家杰、张家豪兄弟就是其中的一对。今年高考中，两兄弟都考出了优异成绩。关注时事、心系芯片自主研发事业的哥哥张家豪选择了电子信息类，而以清华计算机科学为学术圣地的弟弟张家杰则即将开始他在清华人工智能学堂班的学习。“我和哥哥性格大同小异，只是哥哥做事比我麻利，也相对倔强，我会比较‘佛系’一些。”张家杰这样评价自己和哥哥的性格。而哥哥张家豪则打趣说：“我们俩的主要区别是我比较瘦。”说起过去常常被老师和同学认错叫错的“尴尬”经历，两人相视一笑，默契显而易见。自小起，两兄弟就在父母的鼓励下共同制定成长目标，在学业之余参加各类竞赛，培养了各自浓厚的专业兴趣。两人还有着共同的业余爱好：热爱篮球，喜欢NBA，有诸多彼此都熟悉的球星……“我们上高中时几乎天天打球，既减轻了压力，也锻炼好了身体。”正因如此，他们对清华园的期待远不止学术上的精益，多姿多彩的校园文体活动，节庆时紫操上的各类聚会，丰富而专业的社团活动，都是他们所追求的清华生活。张家豪说尽管来过很多次清华，对这里并不陌生，但迎新日的感受还是只能用一个词来概括：兴奋。“多年努力，终于圆梦清华，心情无比兴奋。”对于即将在清华园里展开的精彩生活，两兄弟充满了信心：“相信在清华的四年，我们能学到许多对自己、对社会、对国家有用的知识和技能，让自己变得更加广博而专业，阳光而深邃。”（文：王媛媛；图：苑洁）                  原图                             ,http://wx4.sinaimg.cn/large/63ea9369ly1g5z3dkrxovj21900u01l2.jpg,无,2019-08-14 12:26,搜狗高速浏览器,527,21,29
I2am96iv3,【#你好九字班# 励志男孩林万东：天朗风清，像未来的颜色】清晨，林万东独自一人背包来到清华园报到。抬头看天空，天朗风清。“像家乡云南的天空一样亲切，也像极了未来的颜色。”一个多月前，清华大学的一纸捷报，辗转2300多公里，抵达云南省曲靖市阿都乡的贫困考生林万东手中。那时的他，正大汗淋漓在工地打工搬砖头。林万东出生在云南宣威市阿都乡一个山村中，这里是深度贫困地区。家里姐弟三人，姐姐在上大学，弟弟还在念高一。父亲因病不能干重体力劳动，全家的经济来源都靠母亲在昆明的一家工地搬砖背沙。承受着几倍于寻常家庭的压力，这个即将有两名大学生的农村家庭没有被击倒。今年高考，林万东考取理科713分，通过清华大学“自强计划”被自动化系录取。高考结束后，林万东曾去到昆明的一处工地陪母亲一起打工。他在日记中默默写下：“唯有自强不息，我们才会有日后的无限可能。”今日，新生活开启，林万东充满希望。“清华太美，老师同学们无比亲切，我非常珍惜这样的学习和生活，也希望未来通过自己的努力为家乡贡献力量。”（文：赵姝婧；图：苑洁）                  原图                             ,http://wx2.sinaimg.cn/large/63ea9369ly1g5z39zelyaj21cr0u07wh.jpg,无,2019-08-14 12:22,搜狗高速浏览器,2768,92,126
I2a3OBqvj,【#你好九字班# 杨晨煜：希望能做真正的清华人】来自广西南宁二中的杨晨煜无疑是2019年的高考“明星”。考出全国实考最高分730分的他，已通过选拔进入人工智能学堂班学习。“最高分、最高颜值、多才多艺”是媒体给予他的赞美，而他却说：“我并不认可这样的概括方式，高考成绩并不能说明一切问题，努力才最重要。”谈到为什么选择清华时，他大方地表示：“这里是我一心所向。荷塘中如流水般的月色，清华学堂中厚重的历史都深深吸引着我。”杨晨煜被选拔参加了今年的“新生骨干训练营”。为期三天的活动让他印象最深刻的，是清华大学中集体的力量。“无论是班团组织还是社团协会，集体将每一个人团结在一起，给予每个人温暖与帮助，发挥着一加一大于二的作用。”杨晨煜说。作为新生骨干的他，也全程参与了今年的迎新工作，践行了自己在训练营中服务班团建设的信念。来到清华，杨晨煜想对自己说：“希望我能成为真正的清华人，立德立言，无问西东，不忘初心，从始至终。”（文：王媛媛；图：苑洁）             [组图共2张]      原图                             ,"http://ww4.sinaimg.cn/large/63ea9369ly1g5z1w1kdngj21900u0jss.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z1y4dvk5j21cr0u0qd9.jpg",无,2019-08-14 11:37,无,9286,414,460
I29UR68uE,【#你好九字班# 最小新生鹿泽宇：探索未知和自然的奥秘令人着迷】化生类新生鹿泽宇出生于2004年，是3800余位新生中年龄最小的。鹿泽宇曾获得第32届中国化学奥林匹克（决赛）银牌，化学是他的最爱。未来他也想继续在化学特别是超导体领域从事研究。鹿泽宇说，其实他从小对数学、物理这些基础学科都很有兴趣，探索未知和大自然的奥秘，对他有着莫大的吸引力。学习之余，鹿泽宇也酷爱体育。他骄傲地历数自己对游泳、乒乓球和长跑的热爱与坚持。来到清华这样一个有着优良体育传统的学校，他自然是如鱼得水。来自北京十二中的鹿泽宇虽然曾来过清华多次，但第一次以新生身份踏进清华园，还是有着别样的激动心情。学长们8月初就为新生建了微信群，因实习没能参加迎新工作的辅导员专门到紫荆迎接他们，并为他们规划报到路线等细节，让新生们感受到浓浓的温暖。展望未来，少年鹿泽宇期待无限！（文：程曦；图：苑洁）                  原图                             ,http://wx1.sinaimg.cn/large/63ea9369ly1g5z1bqszm0j21cr0u07wh.jpg,无,2019-08-14 11:15,搜狗高速浏览器,1225,54,119
I29RyASDv,#清华2019新生大数据# 九字班的秘密都在这里（图文：九字班；摄影：何康、霍元东）  [组图共9张] 原图 ,"http://ww4.sinaimg.cn/large/63ea9369ly1g5z13h0fouj21900u0wiy.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5z11j3izhj20u01zlaey.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z11jcplbj20u00wjdij.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z11joppcj20u011v0vm.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z11jyzbkj20u0216doe.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5z11k99nfj20u01adgra.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z6lzxi1tj20u00gdta9.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z11ljyt0j20u00jndhi.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5z133i9mwj217i0u0afy.jpg",无,2019-08-14 11:07,无,790,72,67
I29pQnRup,#你好九字班# 清华园欢迎你们的到来（摄影：何康、霍元东、苑洁）  [组图共9张] 原图 ,"http://ww4.sinaimg.cn/large/63ea9369ly1g5yz40wfr7j21900u0qb3.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5yz428x5nj217u0u0n27.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5yz42uuaej21900u043t.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5yz43flgej21900u0437.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5yz43tas1j21900u0af7.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5yz443dmuj21900u0afm.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5z14r7t41j21900u0n45.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5yz45eeyej21900u00zo.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5yz49nb41j21900u0agj.jpg",无,2019-08-14 09:59,无,1184,65,95
I294G3oF8,【清华大学迎来3800余名2019级本科新生】8月14日，清华园迎来3800余名“九字班”新生。心系家国、胸怀理想的他们，将在自己的梦想之地开启新的人生旅程。2019年，清华大学共录取内地学生3400余人，港澳台学生60余人，国际学生约300人。内地学生中，理工类考生占比77.3%，文史类考生占比8.9%，艺术类考生占比6.6%，来自高考综合改革省份的考生（不分文理）占比7.2%。来自西部地区省份的学生约占26.3%，农村及贫困地区生源占19.3%，少数民族考生占10.9%，男女生比例略超过2:1。#开学季##你好九字班# （摄影：苑洁、何康、霍元东）             [组图共9张]      原图                             ,"http://ww3.sinaimg.cn/large/63ea9369ly1g5yxbcurz3j21900u0791.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5yxaz49jtj21900u0doj.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5yxb0hl0vj21900u0wiy.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5yxryi169j21900u07ck.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5yxb5zz68j21900u046o.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5yxb331ugj21900u0n36.jpg,http://ww1.sinaimg.cn/large/63ea9369ly1g5yxb747m0j21900u0dkn.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5yxb7qot2j21900u079c.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5yxs2pt32j21900u0dqi.jpg",无,2019-08-14 09:07,无,12790,802,1477
I284Gij9U,#你好九字班# 早安！欢迎你们来清华大学报到进入清华园先去哪里？看这里🔽  [组图共9张] 原图 ,"http://ww1.sinaimg.cn/large/63ea9369ly1g5yt28614bj20u00ihdjd.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5yt5mg3ndj20u00p276n.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5yt5mm49pj20u01u2jv1.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5yt5muejoj20u01fvae8.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5yt5n3upej20u019b76w.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5yt5nafyoj20td0kddi0.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5yt5ngd5uj20sq0jwaci.jpg,http://ww2.sinaimg.cn/large/63ea9369ly1g5yt5td2jqj20u00vjtb0.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5yt5ties9j20u00k0tcq.jpg",无,2019-08-14 06:34,无,737,44,66
I24ldthfl,#你好九字班# 今晚请再检查一下你的包包，这些东西是否都装好了，明天报到都要用哦  原图 ,http://wx1.sinaimg.cn/large/63ea9369ly1g5ycpq5fhdj20u016ftbi.jpg,无,2019-08-13 21:04,无,1818,44,136
I24hvfy1u,#你好九字班# 清华园那么大，如果你想搭个车🤗🤗入学报到日（8月14日）新生及家属凭录取通知书可免费乘坐校车。其他时间清华师生凭学生证/工作证免费乘坐校车，校外人员工作日2元/人，周末或节假日3元/人。（图文：THU艾生权）  [组图共3张] 原图 ,"http://ww2.sinaimg.cn/large/63ea9369ly1g5ycgd2aoxj20u01hfdlk.jpg,http://ww4.sinaimg.cn/large/63ea9369ly1g5ycgdbgspj20u01he7b2.jpg,http://ww3.sinaimg.cn/large/63ea9369ly1g5ycgdo9kgj20u01f179u.jpg",无,2019-08-13 20:54,无,703,37,40
